1,20160915080000,30000,Atletismo,ND,AMCO
1,20160915113000,10000,Goalball (Varonil),Semifinal,AMCO
1,20160915130000,10000,Goalball (Femenil),Semifinal,AMCO
1,20160915153000,40000,Natación,ND,AMCO
2,20160915080000,21500,Levantamiento de potencia (Varonil),107-Kg,AMCO
2,20160915100000,14500,Ciclismo de ruta (Femenil),H 3-4 5,AMCO
2,20160915120000,14500,Ciclismo de ruta (Varonil),H4 - H3,AMCO
2,20160915153000,30000,Atletismo,ND,AMCO
2,20160915183000,13000,Voleibol sentado (Femenil),Semifinal,AMCO
3,20160915070000,20000,Canotaje de Velocidad,ND,AMCO
3,20160915094500,20000,Baloncesto en silla de ruedas (Femenil),ND,AMCO
3,20160915130000,43000,Tiro con Arco Femenil,1/4 de final / Semifinal / Final,AMCO
3,20160915180000,10000,Fútbol a 5,Semifinal,AMCO
3,20160915190000,14500,Baloncesto en silla de ruedas (Varonil),Semifinal,AMCO
4,20160915150000,3000,Rio Suena,ND,AMCO
4,20160915210000,10000,Rio Suena,ND,AMCO
