channelId,begintime,duration,evNombre,evDescription,providerId
3,20160917104500,13000,Rugby en silla de ruedas ,Semininal 01,AMCO
3,20160917150000,13000,Fútbol a 5,Oro,AMCO
3,20160917163000,21500,Baloncesto en silla de ruedas (Femenil),Oro,AMCO
4,20160917140000,3000,Rio Suena,ND,AMCO
4,20160917210000,10000,Rio Suena,ND,AMCO
1,20160918070000,53000,Atletismo,Maratón,AMCO
1,20160918180000,23000,Ceremonia de Clausura,ND,AMCO
2,20160918073000,20000,Voleibol sentado (Femenil),Bronce,AMCO
2,20160918100000,30000,Voleibol sentado (Femenil),Oro,AMCO
3,20160918070000,13000,Rugby en silla de ruedas ,Bronce,AMCO
3,20160918103000,20000,Rugby en silla de ruedas ,Oro,AMCO
4,20160918110000,20000,Rugby en silla de ruedas / Voleibol sentado,ND,AMCO
4,20160918130000,3000,Rio Suena,ND,AMCO
4,20160918153000,23000,Atletismo,Maratón,AMCO
4,20160918180000,20000,Ceremonia de Clausura,ND,AMCO
4,20160918150000,3000,Rio Suena,ND,AMCO
4,20160918200000,10000,Rio Suena,ND,AMCO
4,20160907154500,23000,Ceremonia de Inaguración,Juegos Paralímpicos Rio 2016,AMCO
1,20160908073000,23000,Natación,ND,AMCO
1,20160908100000,23000,Tiro,ND,AMCO
1,20160908153000,41500,Natación,ND,AMCO
2,20160908080000,30000,Atletismo,ND,AMCO
2,20160908130000,14500,Baloncesto en silla de ruedas (Varonil),Olympic Arena,AMCO
2,20160908153000,30000,Atletismo,ND,AMCO
3,20160908080000,30000,Ciclismo de pista,Pista,AMCO
3,20160908110000,30000,Levantamiento de potencia (Varonil),ND,AMCO
3,20160908143000,30000,Ciclismo de pista,Pista,AMCO
3,20160908170000,30000,Fútbol a 7,Holanda vs EE. UU.,AMCO
4,20160908150000,3000,Rio Suena,ND,AMCO
4,20160908210000,10000,Rio Suena,ND,AMCO
1,20160909080000,30000,Atletismo,ND,AMCO
1,20160909110000,13000,Levantamiento de potencia (Varonil),54-Kg,AMCO
1,20160909140000,13000,Levantamiento de potencia (Varonil),59-Kg,AMCO
1,20160909153000,41500,Natación,ND,AMCO
2,20160909080000,13000,Levantamiento de potencia (Femenil),45-Kg,AMCO
2,20160909100000,14500,Baloncesto en silla de ruedas (Varonil),ND,AMCO
2,20160909121500,30000,Tiro,ND,AMCO
2,20160909150000,31500,Atletismo,ND,AMCO
3,20160909080000,30000,Ciclismo de pista,Pista,AMCO
3,20160909120000,13000,Voleibol sentado (Varonil),ND,AMCO
3,20160909143000,30000,Ciclismo,Pista,AMCO
3,20160909180000,10000,Fútbol a 5,México vs. Argentina,AMCO
4,20160909150000,3000,Rio Suena,ND,AMCO
4,20160909210000,10000,Rio Suena,ND,AMCO
