1,20160912080000,31500,Atletismo,ND,AMCO
1,20160912120000,13000,Voleibol sentado (Varonil),China vs. Ucrania,AMCO
1,20160912153000,41500,Natación,ND,AMCO
2,20160912073000,13000,Natación,ND,AMCO
2,20160912111500,14500,Baloncesto en silla de ruedas (Varonil),Carlonca Arena,AMCO
2,20160912140000,40000,Tenis de mesa,Oro / Bronce / Varonail SM11 y Sm10 / Femenil SF3 y SF5,AMCO
3,20160912080000,30000,Levantamiento de potencia (Femenil),73-Kg,AMCO
3,20160912110000,13000,Levantamiento de potencia (Femenil),79-Kg,AMCO
3,20160912140000,30000,Levantamiento de potencia (Varonil),80-Kg,AMCO
3,20160912153000,10000,Atletismo,ND,AMCO
4,20160912150000,3000,Rio Suena,ND,AMCO
4,20160912210000,10000,Rio Suena,ND,AMCO
