1,20160910080000,30000,Triatlón (Varonil),ND,AMCO
1,20160910120000,13000,Voleibol sentado (Femenil),EE. UU. vs. Iran,AMCO
1,20160910140000,13000,Levantamiento de potencia (Varonil),65-Kg,AMCO
1,20160910153000,34500,Natación,ND,AMCO
2,20160910080000,24500,Ciclismo,Pista,AMCO
2,20160910133000,14500,Baloncesto en silla de ruedas (Varonil),ND,AMCO
2,20160910153000,30000,Atletismo,ND,AMCO
3,20160910080000,30000,Atletismo,ND,AMCO
3,20160910110000,14500,Levantamiento de potencia (Varonil),ND,AMCO
3,20160910143000,33000,Ciclismo,Pista,AMCO
3,20160910180000,13000,Voleibol sentado (Varonil),Bosnia vs. Ucrania,AMCO
4,20160910133000,3000,Rio Suena,ND,AMCO
4,20160910210000,10000,Rio Suena,ND,AMCO
